Number,Type,ID
1,"Iron Door (Lower, Unopened, East)",(71:0)
2,"Iron Door (Lower, Unopened, West)",(71:2)
2,"Iron Door (Lower, Unopened, North)",(71:3)
5,"Iron Door (Upper, Left Hinge, Unpowered)",(71:8)
95,Wooden Pressure Plate,(72:0)
4,Unlit Redstone Torch (Up),(75:5)
1,Redstone Torch (East),(76:1)
1,Redstone Torch (North),(76:4)
3,Stone Button (Down),(77:0)
16,Stone Button (East),(77:1)
14,Stone Button (West),(77:2)
29,Stone Button (South),(77:3)
23,Stone Button (North),(77:4)
120,Stone Button (Up),(77:5)
3,Jukebox,(84:0)
506,Oak Fence,(85:0)
436,Netherrack,(87:0)
4056,Glowstone,(89:0)
2,"Redstone Repeater (Unpowered, Delay 1, West)",(93:1)
2,"Redstone Repeater (Unpowered, Delay 1, East)",(93:3)
14,Gray Stained Glass,(95:7)
11,"Wooden Trapdoor (Bottom, False, North)",(96:0)
12,"Wooden Trapdoor (Bottom, False, South)",(96:1)
37,"Wooden Trapdoor (Bottom, False, West)",(96:2)
16,"Wooden Trapdoor (Bottom, False, East)",(96:3)
60,"Wooden Trapdoor (Bottom, True, North)",(96:4)
64,"Wooden Trapdoor (Bottom, True, South)",(96:5)
58,"Wooden Trapdoor (Bottom, True, West)",(96:6)
43,"Wooden Trapdoor (Bottom, True, East)",(96:7)
21,"Wooden Trapdoor (Top, False, North)",(96:8)
17,"Wooden Trapdoor (Top, False, South)",(96:9)
3,"Wooden Trapdoor (Top, False, West)",(96:10)
2,"Wooden Trapdoor (Top, False, East)",(96:11)
30,"Wooden Trapdoor (Top, True, North)",(96:12)
18,"Wooden Trapdoor (Top, True, South)",(96:13)
12,"Wooden Trapdoor (Top, True, West)",(96:14)
20,"Wooden Trapdoor (Top, True, East)",(96:15)
1034,Stone Bricks,(98:0)
4,Cracked Stone Bricks,(98:2)
6,Brown Mushroom Block (Stem),(99:10)
78,Iron Bars,(101:0)
4,"Oak Fence Gate (Closed, South)",(107:0)
2,"Oak Fence Gate (Closed, West)",(107:1)
5,"Oak Fence Gate (Closed, North)",(107:2)
7,"Oak Fence Gate (Closed, East)",(107:3)
40,"Oak Fence Gate (Open, South)",(107:4)
17,"Oak Fence Gate (Open, West)",(107:5)
15,"Oak Fence Gate (Open, North)",(107:6)
35,"Oak Fence Gate (Open, East)",(107:7)
456,"Stone Brick Stairs (Bottom, East)",(109:0)
483,"Stone Brick Stairs (Bottom, West)",(109:1)
250,"Stone Brick Stairs (Bottom, South)",(109:2)
240,"Stone Brick Stairs (Bottom, North)",(109:3)
3,"Stone Brick Stairs (Top, East)",(109:4)
4,"Stone Brick Stairs (Top, West)",(109:5)
6,"Stone Brick Stairs (Top, South)",(109:6)
5,"Stone Brick Stairs (Top, North)",(109:7)
48,Nether Brick,(112:0)
28,Nether Brick Fence,(113:0)
36,"Nether Brick Stairs (Bottom, East)",(114:0)
41,"Nether Brick Stairs (Bottom, West)",(114:1)
29,"Nether Brick Stairs (Bottom, South)",(114:2)
32,"Nether Brick Stairs (Bottom, North)",(114:3)
31,"Nether Brick Stairs (Top, East)",(114:4)
28,"Nether Brick Stairs (Top, West)",(114:5)
21,"Nether Brick Stairs (Top, South)",(114:6)
21,"Nether Brick Stairs (Top, North)",(114:7)
1,Enchantment Table,(116:0)
2,Brewing Stand (Empty),(117:0)
50,Cauldron (Level 0),(118:0)
2,Cauldron (Level 1),(118:1)
5,Cauldron (Level 2),(118:2)
5,Cauldron (Level 3),(118:3)
1,Redstone Lamp (Off),(123:0)
72,Redstone Lamp (On),(124:0)
18,Oak Double Slab,(125:0)
345,Spruce Double Slab,(125:1)
5,Birch Double Slab,(125:2)
1,Jungle Double Slab,(125:3)
81,Dark Oak Double Slab,(125:5)
48,Oak Wood Slab (Bottom),(126:0)
2093,Spruce Wood Slab (Bottom),(126:1)
4,Birch Wood Slab (Bottom),(126:2)
11,Jungle Wood Slab (Bottom),(126:3)
349,Dark Oak Wood Slab (Bottom),(126:5)
45,Oak Wood Slab (Top),(126:8)
2339,Spruce Wood Slab (Top),(126:9)
7,Birch Wood Slab (Top),(126:10)
482,Dark Oak Wood Slab (Top),(126:13)
1,"Sandstone Stairs (Bottom, South)",(128:2)
116,Emerald Ore,(129:0)
4,"Tripwire Hook (Unattached, Unpowered, South)",(131:0)
10,"Tripwire Hook (Unattached, Unpowered, West)",(131:1)
2,"Tripwire Hook (Unattached, Unpowered, North)",(131:2)
556,"Tripwire (Unattached, Armed, Unpowered, Unsuspended)",(132:0)
321,"Spruce Wood Stairs (Bottom, East)",(134:0)
321,"Spruce Wood Stairs (Bottom, West)",(134:1)
324,"Spruce Wood Stairs (Bottom, South)",(134:2)
246,"Spruce Wood Stairs (Bottom, North)",(134:3)
443,"Spruce Wood Stairs (Top, East)",(134:4)
306,"Spruce Wood Stairs (Top, West)",(134:5)
192,"Spruce Wood Stairs (Top, South)",(134:6)
181,"Spruce Wood Stairs (Top, North)",(134:7)
2,"Birch Wood Stairs (Bottom, East)",(135:0)
2,"Birch Wood Stairs (Bottom, West)",(135:1)
2,"Birch Wood Stairs (Bottom, South)",(135:2)
3,"Birch Wood Stairs (Bottom, North)",(135:3)
27,"Birch Wood Stairs (Top, East)",(135:4)
2,"Birch Wood Stairs (Top, West)",(135:5)
2,"Birch Wood Stairs (Top, South)",(135:6)
1,"Birch Wood Stairs (Top, North)",(135:7)
32,Beacon,(138:0)
38,Cobblestone Wall,(139:0)
29,Flower Pot (Legacy Data 0),(140:0)
2,Wooden Button (South),(143:3)
5,Wooden Button (North),(143:4)
1,Anvil (West),(145:1)
1,Anvil (North),(145:2)
2,Anvil (East),(145:3)
1,"Anvil (Damaged, South)",(145:4)
72,Block of Redstone,(152:0)
11,Block of Quartz,(155:0)
1,"Quartz Stairs (Bottom, East)",(156:0)
1,"Quartz Stairs (Bottom, West)",(156:1)
1,"Quartz Stairs (Top, East)",(156:4)
1,"Quartz Stairs (Top, West)",(156:5)
1,"Quartz Stairs (Top, South)",(156:6)
1,"Quartz Stairs (Top, North)",(156:7)
542296,White Terracotta,(159:0)
2282203,Orange Terracotta,(159:1)
122238,Magenta Terracotta,(159:2)
965901,Yellow Terracotta,(159:4)
11,Lime Terracotta,(159:5)
103078,Pink Terracotta,(159:6)
527863,Light Gray Terracotta,(159:8)
649,Cyan Terracotta,(159:9)
92206,Purple Terracotta,(159:10)
68062,Blue Terracotta,(159:11)
179339,Brown Terracotta,(159:12)
978998,Red Terracotta,(159:14)
109,Light Blue Stained Glass Pane,(160:3)
16,Gray Stained Glass Pane,(160:7)
20,Light Gray Stained Glass Pane,(160:8)
26,Black Stained Glass Pane,(160:15)
421,Acacia Leaves (Decay after Tree Update),(161:0)
3533,Acacia Leaves (No Decay),(161:4)
4305,"Acacia Leaves (No Decay, Unused)",(161:12)
1881,"Acacia Wood (Upright, Acacia)",(162:0)
1810,"Dark Oak Wood (Upright, Dark Oak)",(162:1)
418,"Acacia Wood (East/West, Acacia)",(162:4)
261,"Dark Oak Wood (East/West, Dark Oak)",(162:5)
184,"Acacia Wood (North/South, Acacia)",(162:8)
227,"Dark Oak Wood (North/South, Dark Oak)",(162:9)
65,"Acacia Wood Stairs (Bottom, South)",(163:2)
68,"Acacia Wood Stairs (Bottom, North)",(163:3)
4,"Acacia Wood Stairs (Top, East)",(163:4)
3,"Acacia Wood Stairs (Top, South)",(163:6)
6,"Acacia Wood Stairs (Top, North)",(163:7)
282,"Dark Oak Wood Stairs (Bottom, East)",(164:0)
186,"Dark Oak Wood Stairs (Bottom, West)",(164:1)
235,"Dark Oak Wood Stairs (Bottom, South)",(164:2)
377,"Dark Oak Wood Stairs (Bottom, North)",(164:3)
32,"Dark Oak Wood Stairs (Top, East)",(164:4)
57,"Dark Oak Wood Stairs (Top, West)",(164:5)
35,"Dark Oak Wood Stairs (Top, South)",(164:6)
31,"Dark Oak Wood Stairs (Top, North)",(164:7)
4,Slime Block,(165:0)
2074,Barrier,(166:0)
5,Sea Lantern,(169:0)
112,Hay Bale (Upright),(170:0)
20,Hay Bale (East/West),(170:4)
34,Hay Bale (North/South),(170:8)
91,White Carpet,(171:0)
170,Orange Carpet,(171:1)
7,Magenta Carpet,(171:2)
1117,Light Blue Carpet,(171:3)
181,Yellow Carpet,(171:4)
13,Pink Carpet,(171:6)
4,Gray Carpet,(171:7)
117,Light Gray Carpet,(171:8)
1231,Cyan Carpet,(171:9)
7,Purple Carpet,(171:10)
92,Brown Carpet,(171:12)
88,Red Carpet,(171:14)
6,Black Carpet,(171:15)
954312,Terracotta,(172:0)
1003,Block of Coal,(173:0)
8,Wall Banner (North),(177:2)
2,Wall Banner (South),(177:3)
9,Wall Banner (West),(177:4)
4,Wall Banner (East),(177:5)
261201,Red Sandstone,(179:0)
1204,Chiseled Red Sandstone,(179:1)
72389,Smooth Red Sandstone,(179:2)
473,"Red Sandstone Stairs (Bottom, East)",(180:0)
519,"Red Sandstone Stairs (Bottom, West)",(180:1)
349,"Red Sandstone Stairs (Bottom, South)",(180:2)
415,"Red Sandstone Stairs (Bottom, North)",(180:3)
565,"Red Sandstone Stairs (Top, East)",(180:4)
533,"Red Sandstone Stairs (Top, West)",(180:5)
360,"Red Sandstone Stairs (Top, South)",(180:6)
293,"Red Sandstone Stairs (Top, North)",(180:7)
283,Red Sandstone Double Slab (Seamed),(181:0)
1362,Red Sandstone Slab (Bottom),(182:0)
951,Red Sandstone Slab (Top),(182:8)
4,"Spruce Fence Gate (Closed, South)",(183:0)
1,"Spruce Fence Gate (Closed, West)",(183:1)
4,"Spruce Fence Gate (Closed, East)",(183:3)
3274,Spruce Fence,(188:0)
613,Dark Oak Fence,(191:0)
132,Acacia Fence,(192:0)
11,"Spruce Door (Lower, Unopened, East)",(193:0)
11,"Spruce Door (Lower, Unopened, South)",(193:1)
5,"Spruce Door (Lower, Unopened, West)",(193:2)
11,"Spruce Door (Lower, Unopened, North)",(193:3)
1,"Spruce Door (Lower, Opened, South)",(193:5)
24,"Spruce Door (Upper, Left Hinge, Unpowered)",(193:8)
15,"Spruce Door (Upper, Right Hinge, Unpowered)",(193:9)
1,"Dark Oak Door (Lower, Unopened, East)",(197:0)
1,"Dark Oak Door (Lower, Unopened, South)",(197:1)
8,"Dark Oak Door (Lower, Unopened, West)",(197:2)
3,"Dark Oak Door (Lower, Unopened, North)",(197:3)
3,"Dark Oak Door (Lower, Opened, South)",(197:5)
2,"Dark Oak Door (Lower, Opened, North)",(197:7)
13,"Dark Oak Door (Upper, Left Hinge, Unpowered)",(197:8)
5,"Dark Oak Door (Upper, Right Hinge, Unpowered)",(197:9)
1321,Path,(208:0)
6,White Concrete,(251:0)
4,Orange Concrete,(251:1)
1373,Black Concrete,(251:15)
98,Light Gray Concrete Powder,(252:8)
243,Green Concrete Powder,(252:13)
Number,Type,ID
38,<TileEntities>,
4,minecraft:banner,
18,minecraft:beacon,
4,minecraft:chest,
12,minecraft:sign,
