Number,Type,ID
2,"Iron Door (Lower, Unopened, South)",(71:1)
3,"Iron Door (Lower, Unopened, West)",(71:2)
5,"Iron Door (Lower, Unopened, North)",(71:3)
1,"Iron Door (Lower, Opened, East)",(71:4)
1,"Iron Door (Lower, Opened, South)",(71:5)
10,"Iron Door (Upper, Left Hinge, Unpowered)",(71:8)
6,"Iron Door (Upper, Right Hinge, Unpowered)",(71:9)
2,"Iron Door (Upper, Left Hinge, Powered)",(71:10)
27,Wooden Pressure Plate,(72:0)
3,Unlit Redstone Torch (East),(75:1)
4,Unlit Redstone Torch (West),(75:2)
5,Unlit Redstone Torch (South),(75:3)
5,Unlit Redstone Torch (North),(75:4)
50,Unlit Redstone Torch (Up),(75:5)
14,Redstone Torch (East),(76:1)
21,Redstone Torch (West),(76:2)
9,Redstone Torch (South),(76:3)
15,Redstone Torch (North),(76:4)
38,Redstone Torch (Up),(76:5)
1,Stone Button (East),(77:1)
5,Stone Button (South),(77:3)
3,Stone Button (North),(77:4)
1,Stone Button (Up),(77:5)
64,Clay,(82:0)
31,Sugar Canes (Age 0),(83:0)
1,Jukebox,(84:0)
229,Oak Fence,(85:0)
17518,Netherrack,(87:0)
16,Soul Sand,(88:0)
547,Glowstone,(89:0)
24,"Redstone Repeater (Unpowered, Delay 1, South)",(93:0)
10,"Redstone Repeater (Unpowered, Delay 1, West)",(93:1)
31,"Redstone Repeater (Unpowered, Delay 1, North)",(93:2)
18,"Redstone Repeater (Unpowered, Delay 1, East)",(93:3)
1,"Redstone Repeater (Unpowered, Delay 2, South)",(93:4)
11,"Redstone Repeater (Unpowered, Delay 4, South)",(93:12)
4,"Redstone Repeater (Unpowered, Delay 4, West)",(93:13)
8,"Redstone Repeater (Unpowered, Delay 4, North)",(93:14)
8,"Redstone Repeater (Unpowered, Delay 4, East)",(93:15)
34,"Redstone Repeater (Powered, Delay 1, North)",(94:0)
36,"Redstone Repeater (Powered, Delay 1, East)",(94:1)
18,"Redstone Repeater (Powered, Delay 1, South)",(94:2)
12,"Redstone Repeater (Powered, Delay 1, West)",(94:3)
5,"Redstone Repeater (Powered, Delay 4, North)",(94:12)
4,"Redstone Repeater (Powered, Delay 4, South)",(94:14)
9,White Stained Glass,(95:0)
92,Cyan Stained Glass,(95:9)
3,"Wooden Trapdoor (Bottom, False, West)",(96:2)
4,"Wooden Trapdoor (Bottom, False, East)",(96:3)
7,"Wooden Trapdoor (Bottom, True, North)",(96:4)
7,"Wooden Trapdoor (Bottom, True, South)",(96:5)
14,"Wooden Trapdoor (Bottom, True, West)",(96:6)
9,"Wooden Trapdoor (Bottom, True, East)",(96:7)
4,"Wooden Trapdoor (Top, False, North)",(96:8)
5,"Wooden Trapdoor (Top, False, South)",(96:9)
8,"Wooden Trapdoor (Top, False, West)",(96:10)
1,"Wooden Trapdoor (Top, False, East)",(96:11)
26,"Wooden Trapdoor (Top, True, North)",(96:12)
22,"Wooden Trapdoor (Top, True, South)",(96:13)
13,"Wooden Trapdoor (Top, True, West)",(96:14)
19,"Wooden Trapdoor (Top, True, East)",(96:15)
25,Stone Monster Egg,(97:0)
11760,Stone Bricks,(98:0)
211,Mossy Stone Bricks,(98:1)
410,Cracked Stone Bricks,(98:2)
230,Chiseled Stone Bricks,(98:3)
444,Iron Bars,(101:0)
98,Glass Pane,(102:0)
11,Vines (None),(106:0)
1821,Vines (South),(106:1)
1406,Vines (West),(106:2)
16,Vines (South/West),(106:3)
1763,Vines (North),(106:4)
25,Vines (North/South),(106:5)
21,Vines (North/West),(106:6)
4,Vines (North/South/West),(106:7)
1721,Vines (East),(106:8)
55,Vines (East/South),(106:9)
57,Vines (East/West),(106:10)
1,Vines (East/South/West),(106:11)
27,Vines (East/North),(106:12)
2,"Oak Fence Gate (Closed, West)",(107:1)
4,"Oak Fence Gate (Open, North)",(107:6)
158,"Stone Brick Stairs (Bottom, East)",(109:0)
67,"Stone Brick Stairs (Bottom, West)",(109:1)
127,"Stone Brick Stairs (Bottom, South)",(109:2)
172,"Stone Brick Stairs (Bottom, North)",(109:3)
195,"Stone Brick Stairs (Top, East)",(109:4)
184,"Stone Brick Stairs (Top, West)",(109:5)
225,"Stone Brick Stairs (Top, South)",(109:6)
241,"Stone Brick Stairs (Top, North)",(109:7)
15,Lily Pad,(111:0)
344,Nether Brick,(112:0)
3,"Nether Brick Stairs (Bottom, East)",(114:0)
12,"Nether Brick Stairs (Bottom, West)",(114:1)
2,"Nether Brick Stairs (Bottom, South)",(114:2)
5,"Nether Brick Stairs (Bottom, North)",(114:3)
3,Enchantment Table,(116:0)
3,Brewing Stand (Empty),(117:0)
4,Cauldron (Level 3),(118:3)
3,"End Portal Frame (No Eye, South)",(120:0)
1,"End Portal Frame (No Eye, West)",(120:1)
2,"End Portal Frame (No Eye, North)",(120:2)
6,"End Portal Frame (No Eye, East)",(120:3)
2,"End Portal Frame (Eye, East)",(120:7)
48,Redstone Lamp (Off),(123:0)
52,Redstone Lamp (On),(124:0)
38,Oak Double Slab,(125:0)
38,Spruce Double Slab,(125:1)
132,Oak Wood Slab (Bottom),(126:0)
134,Spruce Wood Slab (Bottom),(126:1)
4,Birch Wood Slab (Bottom),(126:2)
2,Dark Oak Wood Slab (Bottom),(126:5)
287,Oak Wood Slab (Top),(126:8)
247,Spruce Wood Slab (Top),(126:9)
2,Dark Oak Wood Slab (Top),(126:13)
2,"Cocoa (Age 2, South)",(127:8)
1,"Cocoa (Age 2, West)",(127:9)
2,"Cocoa (Age 2, North)",(127:10)
1,"Cocoa (Age 2, East)",(127:11)
1,"Sandstone Stairs (Bottom, North)",(128:3)
2,"Tripwire Hook (Unattached, Unpowered, North)",(131:2)
27,"Tripwire (Unattached, Armed, Unpowered, Unsuspended)",(132:0)
5,Block of Emerald,(133:0)
31,"Spruce Wood Stairs (Bottom, East)",(134:0)
19,"Spruce Wood Stairs (Bottom, West)",(134:1)
35,"Spruce Wood Stairs (Bottom, South)",(134:2)
26,"Spruce Wood Stairs (Bottom, North)",(134:3)
123,"Spruce Wood Stairs (Top, East)",(134:4)
121,"Spruce Wood Stairs (Top, West)",(134:5)
156,"Spruce Wood Stairs (Top, South)",(134:6)
158,"Spruce Wood Stairs (Top, North)",(134:7)
2,"Birch Wood Stairs (Bottom, East)",(135:0)
15,"Birch Wood Stairs (Bottom, West)",(135:1)
14,"Birch Wood Stairs (Bottom, South)",(135:2)
19,"Birch Wood Stairs (Bottom, North)",(135:3)
3,"Birch Wood Stairs (Top, South)",(135:6)
2,"Birch Wood Stairs (Top, North)",(135:7)
410,Cobblestone Wall,(139:0)
2,Cobblestone Wall (Mossy),(139:1)
16,Flower Pot (Legacy Data 0),(140:0)
3,Flower Pot (Legacy Data 1),(140:1)
1,Flower Pot (Legacy Data 2),(140:2)
1,Wooden Button (Down),(143:0)
11,Wooden Button (East),(143:1)
2,Wooden Button (West),(143:2)
3,Wooden Button (South),(143:3)
5,Wooden Button (North),(143:4)
4,Wooden Button (Up),(143:5)
16,"Mob Head (Drop, Up)",(144:1)
1,Anvil (South),(145:0)
2,Trapped Chest (West),(146:4)
1,"Redstone Comparator (Off, Compare, South)",(149:0)
2,"Redstone Comparator (Off, Compare, North)",(149:2)
14,"Redstone Comparator (Off, Compare, East)",(149:3)
8,"Redstone Comparator (On, Compare, West)",(149:9)
2,"Redstone Comparator (On, Compare, North)",(149:10)
47,Block of Redstone,(152:0)
16,Nether Quartz Ore,(153:0)
7,Hopper (Down),(154:0)
3,Hopper (North),(154:2)
6,Hopper (South),(154:3)
7,Hopper (West),(154:4)
2,Hopper (East),(154:5)
1,"Hopper (Disabled, North)",(154:10)
5,"Hopper (Disabled, West)",(154:12)
1,Block of Quartz,(155:0)
1,Pillar Quartz Block (Upright),(155:2)
1,Dropper (West),(158:4)
3,Dropper (East),(158:5)
122,Cyan Terracotta,(159:9)
13,Light Blue Stained Glass Pane,(160:3)
9,Gray Stained Glass Pane,(160:7)
36,Light Gray Stained Glass Pane,(160:8)
143,Cyan Stained Glass Pane,(160:9)
1,"Dark Oak Wood Stairs (Bottom, South)",(164:2)
7,"Dark Oak Wood Stairs (Bottom, North)",(164:3)
2,"Dark Oak Wood Stairs (Top, East)",(164:4)
1,"Dark Oak Wood Stairs (Top, West)",(164:5)
3,"Dark Oak Wood Stairs (Top, South)",(164:6)
4,"Dark Oak Wood Stairs (Top, North)",(164:7)
51,Slime Block,(165:0)
3,"Iron Trapdoor (Bottom, False, South)",(167:1)
1,"Iron Trapdoor (Bottom, False, West)",(167:2)
164,Prismarine,(168:0)
183,Prismarine Bricks,(168:1)
152,Dark Prismarine,(168:2)
73,Sea Lantern,(169:0)
4,Hay Bale (Upright),(170:0)
2,Hay Bale (North/South),(170:8)
23,White Carpet,(171:0)
8,Magenta Carpet,(171:2)
18,Light Blue Carpet,(171:3)
5,Lime Carpet,(171:5)
42,Gray Carpet,(171:7)
40,Light Gray Carpet,(171:8)
51,Cyan Carpet,(171:9)
44,Green Carpet,(171:13)
49,Red Carpet,(171:14)
7,Black Carpet,(171:15)
4,Lilac (Lower Half),(175:1)
8,Double Tallgrass (Lower Half),(175:2)
4,Rose Bush (Lower Half),(175:4)
15,"Double Plant (Upper Half, North)",(175:10)
1,"Double Plant (Upper Half, East)",(175:11)
18,"Spruce Fence Gate (Closed, South)",(183:0)
15,"Spruce Fence Gate (Closed, West)",(183:1)
30,"Spruce Fence Gate (Closed, North)",(183:2)
22,"Spruce Fence Gate (Closed, East)",(183:3)
2,"Spruce Fence Gate (Open, South)",(183:4)
349,Spruce Fence,(188:0)
16,Birch Fence,(189:0)
38,Jungle Fence,(190:0)
28,Dark Oak Fence,(191:0)
26,Acacia Fence,(192:0)
3,"Spruce Door (Lower, Unopened, East)",(193:0)
5,"Spruce Door (Lower, Unopened, South)",(193:1)
10,"Spruce Door (Lower, Unopened, West)",(193:2)
9,"Spruce Door (Lower, Unopened, North)",(193:3)
15,"Spruce Door (Upper, Left Hinge, Unpowered)",(193:8)
12,"Spruce Door (Upper, Right Hinge, Unpowered)",(193:9)
2,"Dark Oak Door (Lower, Opened, North)",(197:7)
1,"Dark Oak Door (Upper, Left Hinge, Unpowered)",(197:8)
1,"Dark Oak Door (Upper, Right Hinge, Unpowered)",(197:9)
4,End Rod (Up),(198:1)
6,End Rod (West),(198:4)
4,End Rod (East),(198:5)
11,Purpur Block,(201:0)
22,Purpur Pillar (Upright),(202:0)
320,Path,(208:0)
2,Magma Block,(213:0)
Number,Type,ID
198,<TileEntities>,
1,Cauldron,
3,Chest,
6,Trap,
2,minecraft:brewing_stand,
30,minecraft:chest,
27,minecraft:comparator,
42,minecraft:dispenser,
4,minecraft:dropper,
3,minecraft:enchanting_table,
13,minecraft:flower_pot,
13,minecraft:furnace,
31,minecraft:hopper,
1,minecraft:jukebox,
7,minecraft:noteblock,
3,minecraft:sign,
12,minecraft:skull,
