Number,Type,ID
47,Vines (East/South/West),(106:11)
298,Vines (East/North),(106:12)
82,Vines (East/North/South),(106:13)
50,Vines (East/North/West),(106:14)
59,Vines (East/North/South/West),(106:15)
81,"Brick Stairs (Bottom, East)",(108:0)
77,"Brick Stairs (Bottom, West)",(108:1)
137,"Brick Stairs (Bottom, South)",(108:2)
139,"Brick Stairs (Bottom, North)",(108:3)
133,"Brick Stairs (Top, East)",(108:4)
137,"Brick Stairs (Top, West)",(108:5)
154,"Brick Stairs (Top, South)",(108:6)
152,"Brick Stairs (Top, North)",(108:7)
2141,"Stone Brick Stairs (Bottom, East)",(109:0)
2259,"Stone Brick Stairs (Bottom, West)",(109:1)
2075,"Stone Brick Stairs (Bottom, South)",(109:2)
2366,"Stone Brick Stairs (Bottom, North)",(109:3)
2159,"Stone Brick Stairs (Top, East)",(109:4)
2234,"Stone Brick Stairs (Top, West)",(109:5)
2060,"Stone Brick Stairs (Top, South)",(109:6)
2273,"Stone Brick Stairs (Top, North)",(109:7)
128,Lily Pad,(111:0)
17297,Nether Brick,(112:0)
176,Nether Brick Fence,(113:0)
27,"Nether Brick Stairs (Bottom, East)",(114:0)
15,"Nether Brick Stairs (Bottom, West)",(114:1)
22,"Nether Brick Stairs (Bottom, South)",(114:2)
18,"Nether Brick Stairs (Bottom, North)",(114:3)
36,"Nether Brick Stairs (Top, East)",(114:4)
36,"Nether Brick Stairs (Top, West)",(114:5)
53,"Nether Brick Stairs (Top, South)",(114:6)
47,"Nether Brick Stairs (Top, North)",(114:7)
80,Nether Wart (Age 3),(115:3)
5,Enchantment Table,(116:0)
11,Brewing Stand (Empty),(117:0)
10,Cauldron (Level 0),(118:0)
6,Cauldron (Level 3),(118:3)
8,Oak Double Slab,(125:0)
4,Birch Double Slab,(125:2)
201,Jungle Double Slab,(125:3)
9,Oak Wood Slab (Bottom),(126:0)
11,Spruce Wood Slab (Bottom),(126:1)
6,Birch Wood Slab (Bottom),(126:2)
4747,Jungle Wood Slab (Bottom),(126:3)
4,Spruce Wood Slab (Top),(126:9)
1016,Jungle Wood Slab (Top),(126:11)
413,"Sandstone Stairs (Bottom, East)",(128:0)
165,"Sandstone Stairs (Bottom, West)",(128:1)
178,"Sandstone Stairs (Bottom, South)",(128:2)
171,"Sandstone Stairs (Bottom, North)",(128:3)
90,"Sandstone Stairs (Top, East)",(128:4)
76,"Sandstone Stairs (Top, West)",(128:5)
106,"Sandstone Stairs (Top, South)",(128:6)
104,"Sandstone Stairs (Top, North)",(128:7)
439,"Tripwire (Unattached, Armed, Unpowered, Unsuspended)",(132:0)
22,"Tripwire (Unattached, Armed, Unpowered, Suspended)",(132:2)
6,"Spruce Wood Stairs (Bottom, East)",(134:0)
27,"Spruce Wood Stairs (Bottom, West)",(134:1)
4,"Spruce Wood Stairs (Bottom, South)",(134:2)
5,"Spruce Wood Stairs (Bottom, North)",(134:3)
35,"Spruce Wood Stairs (Top, East)",(134:4)
3,"Spruce Wood Stairs (Top, West)",(134:5)
7,"Spruce Wood Stairs (Top, South)",(134:6)
6,"Spruce Wood Stairs (Top, North)",(134:7)
4,"Birch Wood Stairs (Bottom, East)",(135:0)
11,"Birch Wood Stairs (Bottom, West)",(135:1)
9,"Birch Wood Stairs (Bottom, South)",(135:2)
955,"Jungle Wood Stairs (Bottom, East)",(136:0)
781,"Jungle Wood Stairs (Bottom, West)",(136:1)
705,"Jungle Wood Stairs (Bottom, South)",(136:2)
504,"Jungle Wood Stairs (Bottom, North)",(136:3)
37,"Jungle Wood Stairs (Top, East)",(136:4)
36,"Jungle Wood Stairs (Top, West)",(136:5)
19,"Jungle Wood Stairs (Top, South)",(136:6)
9,"Jungle Wood Stairs (Top, North)",(136:7)
44,Beacon,(138:0)
838,Cobblestone Wall,(139:0)
12,Cobblestone Wall (Mossy),(139:1)
58,Flower Pot (Legacy Data 0),(140:0)
24,Flower Pot (Legacy Data 11),(140:11)
2,"Mob Head (Drop, Up)",(144:1)
1,"Mob Head (Drop, North)",(144:2)
2,Anvil (South),(145:0)
2,Anvil (West),(145:1)
2,Anvil (East),(145:3)
2,Block of Redstone,(152:0)
436,Nether Quartz Ore,(153:0)
33430,Block of Quartz,(155:0)
868,Chiseled Quartz Block,(155:1)
12943,Pillar Quartz Block (Upright),(155:2)
103,Pillar Quartz Block (East/West),(155:3)
109,Pillar Quartz Block (North/South),(155:4)
454,"Quartz Stairs (Bottom, East)",(156:0)
487,"Quartz Stairs (Bottom, West)",(156:1)
360,"Quartz Stairs (Bottom, South)",(156:2)
411,"Quartz Stairs (Bottom, North)",(156:3)
594,"Quartz Stairs (Top, East)",(156:4)
622,"Quartz Stairs (Top, West)",(156:5)
662,"Quartz Stairs (Top, South)",(156:6)
788,"Quartz Stairs (Top, North)",(156:7)
300,White Terracotta,(159:0)
12836,Magenta Terracotta,(159:2)
135,Light Blue Terracotta,(159:3)
365,Yellow Terracotta,(159:4)
179,Lime Terracotta,(159:5)
1,Pink Terracotta,(159:6)
6340,Gray Terracotta,(159:7)
6850,Light Gray Terracotta,(159:8)
25,Cyan Terracotta,(159:9)
1091,Purple Terracotta,(159:10)
1862,Blue Terracotta,(159:11)
8901,Brown Terracotta,(159:12)
1234,Green Terracotta,(159:13)
3281,Red Terracotta,(159:14)
2397,Black Terracotta,(159:15)
38,Acacia Leaves (Decay after Tree Update),(161:0)
4111,Acacia Leaves (No Decay),(161:4)
1563,Dark Oak Leaves (No Decay),(161:5)
1040,"Acacia Leaves (No Decay, Unused)",(161:12)
837,"Dark Oak Leaves (No Decay, Unused)",(161:13)
1,"Acacia Wood (Upright, Acacia)",(162:0)
6,Slime Block,(165:0)
7,Prismarine Bricks,(168:1)
399,Sea Lantern,(169:0)
97,Hay Bale (Upright),(170:0)
10,Hay Bale (East/West),(170:4)
36,White Carpet,(171:0)
1,Lime Carpet,(171:5)
49,Pink Carpet,(171:6)
166,Gray Carpet,(171:7)
15,Light Gray Carpet,(171:8)
37,Cyan Carpet,(171:9)
60,Blue Carpet,(171:11)
47,Red Carpet,(171:14)
226,Terracotta,(172:0)
485,Block of Coal,(173:0)
482,Packed Ice,(174:0)
44,Lilac (Lower Half),(175:1)
170,Double Tallgrass (Lower Half),(175:2)
112,Large Fern (Lower Half),(175:3)
58,Rose Bush (Lower Half),(175:4)
30,Peony (Lower Half),(175:5)
414,"Double Plant (Upper Half, North)",(175:10)
1086,Red Sandstone,(179:0)
1571,Chiseled Red Sandstone,(179:1)
6,"Red Sandstone Stairs (Bottom, East)",(180:0)
14,"Red Sandstone Stairs (Bottom, West)",(180:1)
10,"Red Sandstone Stairs (Bottom, South)",(180:2)
10,"Red Sandstone Stairs (Bottom, North)",(180:3)
8,"Red Sandstone Stairs (Top, West)",(180:5)
17,"Red Sandstone Stairs (Top, South)",(180:6)
17,"Red Sandstone Stairs (Top, North)",(180:7)
44,Red Sandstone Double Slab (Seamed),(181:0)
101,Red Sandstone Slab (Bottom),(182:0)
97,Red Sandstone Slab (Top),(182:8)
634,Spruce Fence,(188:0)
1,Birch Fence,(189:0)
20,End Rod (Down),(198:0)
5,End Rod (Up),(198:1)
70,End Rod (North),(198:2)
47,End Rod (South),(198:3)
34,End Rod (West),(198:4)
140,End Rod (East),(198:5)
532,Path,(208:0)
1797,Magma Block,(213:0)
3426,Nether Wart Block,(214:0)
154,Red Nether Brick,(215:0)
8,Light Blue Glazed Terracotta (South),(238:0)
10,Light Blue Glazed Terracotta (West),(238:1)
4,Light Blue Glazed Terracotta (North),(238:2)
2,Light Blue Glazed Terracotta (East),(238:3)
981,Light Blue Concrete,(251:3)
4716,Lime Concrete,(251:5)
132,Light Gray Concrete,(251:8)
24,Blue Concrete,(251:11)
21,Green Concrete,(251:13)
130,Black Concrete,(251:15)
1,Light Blue Concrete Powder,(252:3)
155,Yellow Concrete Powder,(252:4)
97,Lime Concrete Powder,(252:5)
Number,Type,ID
73,<TileEntities>,
43,minecraft:beacon,
7,minecraft:chest,
2,minecraft:enchanting_table,
10,minecraft:flower_pot,
9,minecraft:jukebox,
2,minecraft:sign,
